(0, 1)
(5, 7)
(1, 10)
(2, 13)
(4, 19)
(3, 23)
(3, 28)
(2, 31)
(3, 32)
(4, 44)
(4, 49)
(2, 68)
(5, 70)
(3, 79)
(3, 82)
(2, 86)
(4, 91)
(4, 94)
(3, 97)
(1, 100)
(2, 103)
(4, 109)
(3, 129)
(2, 130)
(5, 133)
(5, 139)
(3, 167)
(3, 176)
(4, 188)
(4, 190)
(3, 192)
(5, 193)
(3, 203)
(3, 208)
(3, 219)
(5, 226)
(3, 230)
(5, 236)
(5, 239)
(5, 262)
(5, 263)
(3, 280)
(3, 291)
(5, 293)
(2, 301)
(3, 302)
(2, 310)
(5, 313)
(5, 319)
(3, 320)
(5, 326)
(5, 329)
(5, 331)
(4, 338)
(6, 356)
(5, 362)
(6, 365)
(5, 367)
(5, 368)
(5, 376)
(6, 379)
(4, 383)
(5, 386)
(5, 391)
(5, 392)
(6, 397)
(4, 404)
(4, 409)
(4, 440)
(3, 446)
(3, 464)
(6, 469)
(4, 478)
(4, 487)
(4, 490)
(6, 496)
(6, 536)
(3, 556)
(6, 563)
(3, 565)
(4, 566)
(2, 608)
(3, 617)
(5, 622)
(5, 623)
(5, 632)
(6, 635)
(5, 637)
(5, 638)
(3, 644)
(6, 649)
(6, 653)
(3, 655)
(4, 656)
(4, 665)
(3, 671)
(5, 673)
(2, 680)
(5, 683)
(6, 694)
(5, 700)
(3, 709)
(3, 716)
(5, 736)
(6, 739)
(4, 748)
(3, 761)
(5, 763)
(4, 784)
(3, 790)
(6, 793)
(3, 802)
(2, 806)
(4, 818)
(3, 820)
(4, 833)
(5, 836)
(4, 847)
(2, 860)
(5, 863)
(4, 874)
(4, 881)
(4, 888)
(6, 899)
(4, 901)
(4, 904)
(3, 907)
(4, 910)
(3, 912)
(5, 913)
(3, 921)
(5, 923)
(5, 931)
(5, 932)
(6, 937)
(4, 940)
(6, 946)
(6, 964)
(3, 970)
(6, 973)
(6, 989)
(6, 998)
(1, 1000)
(2, 1003)
(4, 1009)
(3, 1029)
(2, 1030)
(5, 1033)
(5, 1039)
(3, 1067)
(3, 1076)
(4, 1088)
(4, 1090)
(3, 1092)
